GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC04,Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC01_VC60,"Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC02_VC60,"Margin of Error; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC03_VC60,"Percent; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC04_VC60,"Percent Margin of Error; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC01_VC61,"Estimate; INDUSTRY - Other services, except public administration"
HC02_VC61,"Margin of Error; INDUSTRY - Other services, except public administration"
HC03_VC61,"Percent; INDUSTRY - Other services, except public administration"
HC04_VC61,"Percent Margin of Error; INDUSTRY - Other services, except public administration"
HC01_VC62,Estimate; INDUSTRY - Public administration
HC02_VC62,Margin of Error; INDUSTRY - Public administration
HC03_VC62,Percent; INDUSTRY - Public administration
HC04_VC62,Percent Margin of Error; INDUSTRY - Public administration
HC01_VC66,Estimate; CLASS OF WORKER - Civilian employed population 16 years and over
HC02_VC66,Margin of Error; CLASS OF WORKER - Civilian employed population 16 years and over
HC03_VC66,Percent; CLASS OF WORKER - Civilian employed population 16 years and over
HC04_VC66,Percent Margin of Error; CLASS OF WORKER - Civilian employed population 16 years and over
HC01_VC67,Estimate; CLASS OF WORKER - Private wage and salary workers
HC02_VC67,Margin of Error; CLASS OF WORKER - Private wage and salary workers
HC03_VC67,Percent; CLASS OF WORKER - Private wage and salary workers
HC04_VC67,Percent Margin of Error; CLASS OF WORKER - Private wage and salary workers
HC01_VC68,Estimate; CLASS OF WORKER - Government workers
HC02_VC68,Margin of Error; CLASS OF WORKER - Government workers
HC03_VC68,Percent; CLASS OF WORKER - Government workers
HC04_VC68,Percent Margin of Error; CLASS OF WORKER - Government workers
HC01_VC69,Estimate; CLASS OF WORKER - Self-employed in own not incorporated business workers
HC02_VC69,Margin of Error; CLASS OF WORKER - Self-employed in own not incorporated business workers
HC03_VC69,Percent; CLASS OF WORKER - Self-employed in own not incorporated business workers
HC04_VC69,Percent Margin of Error; CLASS OF WORKER - Self-employed in own not incorporated business workers
HC01_VC70,Estimate; CLASS OF WORKER - Unpaid family workers
HC02_VC70,Margin of Error; CLASS OF WORKER - Unpaid family workers
HC03_VC70,Percent; CLASS OF WORKER - Unpaid family workers
HC04_VC70,Percent Margin of Error; CLASS OF WORKER - Unpaid family workers
HC01_VC74,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Total households
HC02_VC74,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Total households
HC03_VC74,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Total households
HC04_VC74,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Total households
HC01_VC75,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
HC02_VC75,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
HC03_VC75,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
HC04_VC75,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than $10,000"
HC01_VC76,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
HC02_VC76,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
HC03_VC76,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
HC04_VC76,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999"
HC01_VC77,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
HC02_VC77,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
HC03_VC77,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
HC04_VC77,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $15,000 to $24,999"
HC01_VC78,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
HC02_VC78,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
HC03_VC78,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
HC04_VC78,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $25,000 to $34,999"
HC01_VC79,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
HC02_VC79,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
HC03_VC79,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
HC04_VC79,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $35,000 to $49,999"
HC01_VC80,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999"
HC02_VC80,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999"
HC03_VC80,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999"
HC04_VC80,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $50,000 to $74,999"
HC01_VC81,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999"
HC02_VC81,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999"
HC03_VC81,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999"
HC04_VC81,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999"
HC01_VC82,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999"
HC02_VC82,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999"
HC03_VC82,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999"
HC04_VC82,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999"
HC01_VC83,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $150,000 to $199,999"
HC02_VC83,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $150,000 to $199,999"
HC03_VC83,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $150,000 to $199,999"
HC04_VC83,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $150,000 to $199,999"
HC01_VC84,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $200,000 or more"
HC02_VC84,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $200,000 or more"
HC03_VC84,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $200,000 or more"
HC04_VC84,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - $200,000 or more"
HC01_VC85,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars)
HC02_VC85,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars)
HC03_VC85,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars)
HC04_VC85,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars)
HC01_VC86,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars)
HC02_VC86,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars)
HC03_VC86,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars)
HC04_VC86,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Mean household income (dollars)
HC01_VC88,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings
HC02_VC88,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings
HC03_VC88,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings
HC04_VC88,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings
HC01_VC89,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars)
HC02_VC89,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars)
HC03_VC89,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars)
HC04_VC89,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars)
HC01_VC90,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security
HC02_VC90,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security
HC03_VC90,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security
HC04_VC90,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security
HC01_VC91,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars)
HC02_VC91,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars)
HC03_VC91,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars)
HC04_VC91,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars)
HC01_VC92,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income
HC02_VC92,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income
HC03_VC92,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income
HC04_VC92,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income
HC01_VC93,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars)
HC02_VC93,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars)
HC03_VC93,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars)
HC04_VC93,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars)
HC01_VC95,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income
HC02_VC95,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income
HC03_VC95,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income
HC04_VC95,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income
HC01_VC96,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars)
HC02_VC96,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars)
HC03_VC96,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars)
HC04_VC96,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars)
HC01_VC97,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income
HC02_VC97,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income
HC03_VC97,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income
HC04_VC97,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income
HC01_VC98,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars)
HC02_VC98,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars)
HC03_VC98,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars)
HC04_VC98,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars)
HC01_VC99,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months
HC02_VC99,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months
HC03_VC99,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months
HC04_VC99,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months
HC01_VC115,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
HC02_VC115,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
HC03_VC115,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
HC04_VC115,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
HC01_VC121,Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for workers (dollars)
HC02_VC121,Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for workers (dollars)
HC03_VC121,Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for workers (dollars)
HC04_VC121,Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for workers (dollars)
HC01_VC122,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)"
HC02_VC122,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)"
HC03_VC122,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)"
HC04_VC122,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)"
HC01_VC123,"Estimate; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)"
HC02_VC123,"Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)"
HC03_VC123,"Percent; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)"
HC04_VC123,"Percent Margin of Error; INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)"
HC01_VC156,Estimate; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
HC02_VC156,Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
HC03_VC156,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
HC04_VC156,Percent Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
HC01_VC157,Estimate; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years
HC02_VC157,Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years
HC03_VC157,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years
HC04_VC157,Percent Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years
HC01_VC158,Estimate; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years - With related children under 5 years only
HC02_VC158,Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years - With related children under 5 years only
HC03_VC158,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years - With related children under 5 years only
HC04_VC158,Percent Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children under 18 years - With related children under 5 years only
HC01_VC159,Estimate; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Married couple families
