GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC05_EST_VC16,HC05_MOE_VC16,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC05_EST_VC19,HC05_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC05_EST_VC21,HC05_MOE_VC21
610U200US15005,15005,"State Senate District 5 (2010), Hawaii",18376,563,8382,580,580,203,2009,328,7405,621,2.57,0.08,3.23,0.10,3.70,0.65,3.84,0.48,1.40,0.07,10971,607,8382,580,580,203,2009,328,(X),(X),3.20,0.10,3.17,0.10,3.02,0.46,3.40,0.43,(X),(X),18376,563,8382,580,580,203,2009,328,7405,621,27.5,2.1,39.3,3.4,52.6,18.8,71.3,7.0,0.3,0.3,35.3,1.9,41.0,3.3,18.4,9.6,33.3,7.9,30.7,3.4,30.4,2.6,(X),(X),(X),(X),(X),(X),75.5,3.9,6.4,1.1,(X),(X),(X),(X),(X),(X),15.9,2.7
610U200US15006,15006,"State Senate District 6 (2010), Hawaii",17807,447,9295,607,1111,266,2169,317,5232,539,2.83,0.09,3.33,0.12,3.74,0.35,3.80,0.30,1.34,0.09,12575,575,9295,607,1111,266,2169,317,(X),(X),3.29,0.11,3.27,0.11,3.06,0.35,3.49,0.31,(X),(X),17807,447,9295,607,1111,266,2169,317,5232,539,37.0,3.0,44.5,4.0,76.1,9.3,68.3,8.1,2.6,2.0,35.7,2.5,37.0,3.4,32.0,10.9,28.4,6.5,37.1,5.3,22.9,2.7,(X),(X),(X),(X),(X),(X),77.8,5.3,6.9,1.1,(X),(X),(X),(X),(X),(X),23.3,3.3
610U200US15007,15007,"State Senate District 7 (2010), Hawaii",21884,501,11865,499,1230,242,2427,302,6362,426,2.98,0.07,3.57,0.11,3.70,0.35,4.03,0.32,1.35,0.06,15522,574,11865,499,1230,242,2427,302,(X),(X),3.51,0.10,3.48,0.09,3.38,0.35,3.74,0.31,(X),(X),21884,501,11865,499,1230,242,2427,302,6362,426,33.9,1.9,42.4,2.8,64.2,8.7,61.5,6.1,1.9,1.4,41.8,1.4,40.8,2.1,38.7,7.9,41.3,5.9,44.6,3.5,22.0,1.6,(X),(X),(X),(X),(X),(X),75.8,3.8,8.9,0.9,(X),(X),(X),(X),(X),(X),30.7,2.9
610U200US15008,15008,"State Senate District 8 (2010), Hawaii",16672,297,10630,383,696,161,1554,252,3792,305,2.81,0.06,3.25,0.07,2.96,0.25,3.31,0.22,1.33,0.09,12880,381,10630,383,696,161,1554,252,(X),(X),3.19,0.07,3.23,0.07,2.75,0.25,3.12,0.18,(X),(X),16672,297,10630,383,696,161,1554,252,3792,305,32.9,1.6,42.6,2.2,31.3,11.6,46.2,6.2,0.5,0.6,51.2,2.1,48.1,2.7,60.8,10.4,53.4,7.0,57.1,4.4,17.8,1.8,(X),(X),(X),(X),(X),(X),78.2,4.2,8.9,1.2,(X),(X),(X),(X),(X),(X),39.0,4.4
610U200US15009,15009,"State Senate District 9 (2010), Hawaii",17532,347,7863,435,972,173,2163,272,6534,408,2.69,0.07,3.57,0.11,3.53,0.29,3.16,0.21,1.36,0.06,10998,462,7863,435,972,173,2163,272,(X),(X),3.38,0.08,3.51,0.11,3.10,0.29,3.04,0.21,(X),(X),17532,347,7863,435,972,173,2163,272,6534,408,23.2,1.6,39.2,2.7,40.7,9.1,27.1,5.2,0.2,0.2,47.7,1.9,50.3,2.9,56.1,10.0,65.1,5.9,37.5,3.3,28.2,2.1,(X),(X),(X),(X),(X),(X),75.7,3.5,10.0,1.5,(X),(X),(X),(X),(X),(X),26.9,3.5
610U200US15010,15010,"State Senate District 10 (2010), Hawaii",19394,331,7390,455,677,202,1966,311,9361,389,2.24,0.06,3.08,0.09,3.17,0.38,3.20,0.21,1.31,0.06,10033,398,7390,455,677,202,1966,311,(X),(X),3.04,0.08,3.07,0.09,3.00,0.36,2.96,0.19,(X),(X),19394,331,7390,455,677,202,1966,311,9361,389,20.3,1.3,35.8,2.8,35.3,14.2,49.9,8.3,0.7,0.6,39.6,1.9,43.4,2.7,49.0,14.1,48.3,7.5,34.2,3.2,37.8,2.2,(X),(X),(X),(X),(X),(X),78.3,3.2,11.2,1.3,(X),(X),(X),(X),(X),(X),23.2,2.6
610U200US15011,15011,"State Senate District 11 (2010), Hawaii",24260,420,7653,481,850,219,2517,342,13240,666,2.04,0.06,2.98,0.09,3.09,0.30,2.97,0.21,1.25,0.04,11020,569,7653,481,850,219,2517,342,(X),(X),2.91,0.09,2.97,0.09,2.78,0.26,2.79,0.19,(X),(X),24260,420,7653,481,850,219,2517,342,13240,666,18.0,1.4,35.6,3.5,42.7,13.3,49.8,7.7,0.3,0.3,38.3,1.9,38.2,3.4,51.9,12.0,34.7,6.2,38.2,2.7,43.9,2.3,(X),(X),(X),(X),(X),(X),80.4,2.7,14.6,1.5,(X),(X),(X),(X),(X),(X),26.8,2.4
610U200US15012,15012,"State Senate District 12 (2010), Hawaii",25842,693,7979,498,777,225,2302,340,14784,699,1.94,0.05,2.85,0.10,2.78,0.28,2.82,0.19,1.26,0.05,11058,535,7979,498,777,225,2302,340,(X),(X),2.78,0.07,2.82,0.09,2.56,0.22,2.70,0.17,(X),(X),25842,693,7979,498,777,225,2302,340,14784,699,15.3,1.2,31.5,2.7,32.8,12.6,48.7,7.8,0.4,0.5,38.0,1.7,43.4,3.8,53.4,13.2,29.3,6.6,35.6,2.2,46.7,2.0,(X),(X),(X),(X),(X),(X),81.6,2.7,13.8,1.2,(X),(X),(X),(X),(X),(X),24.1,2.2
610U200US15013,15013,"State Senate District 13 (2010), Hawaii",15302,346,7044,411,1099,236,2509,307,4650,401,3.04,0.09,3.76,0.13,3.81,0.50,3.91,0.25,1.29,0.08,10652,440,7044,411,1099,236,2509,307,(X),(X),3.62,0.10,3.65,0.12,3.39,0.47,3.63,0.23,(X),(X),15302,346,7044,411,1099,236,2509,307,4650,401,30.9,2.0,43.5,3.3,41.6,10.8,45.8,6.2,1.1,1.2,52.3,2.2,49.1,3.6,61.7,9.7,54.3,6.0,54.0,4.7,25.5,2.3,(X),(X),(X),(X),(X),(X),84.0,3.4,12.1,1.7,(X),(X),(X),(X),(X),(X),39.8,4.6
610U200US15014,15014,"State Senate District 14 (2010), Hawaii",11467,329,5875,357,1053,178,2519,291,2020,251,4.01,0.13,4.62,0.16,4.05,0.44,4.57,0.27,1.50,0.16,9447,365,5875,357,1053,178,2519,291,(X),(X),4.31,0.12,4.45,0.15,3.74,0.46,4.21,0.29,(X),(X),11467,329,5875,357,1053,178,2519,291,2020,251,46.9,2.7,55.8,3.9,43.2,9.8,62.6,5.6,3.3,2.3,51.1,2.4,50.3,3.7,52.4,10.2,57.0,6.5,45.3,5.8,13.0,1.9,(X),(X),(X),(X),(X),(X),73.6,5.9,5.4,1.1,(X),(X),(X),(X),(X),(X),30.7,4.8
610U200US15015,15015,"State Senate District 15 (2010), Hawaii",20775,380,12405,501,990,226,2212,301,5168,393,3.00,0.07,3.57,0.09,3.62,0.50,3.69,0.36,1.21,0.05,15607,465,12405,501,990,226,2212,301,(X),(X),3.53,0.08,3.55,0.09,3.38,0.43,3.49,0.32,(X),(X),20775,380,12405,501,990,226,2212,301,5168,393,42.1,2.0,54.4,2.8,58.3,10.6,63.7,7.4,0.2,0.3,28.7,1.8,27.0,2.3,46.6,11.0,36.6,7.1,26.1,4.5,20.7,1.7,(X),(X),(X),(X),(X),(X),83.4,3.3,3.9,0.8,(X),(X),(X),(X),(X),(X),15.7,3.5
610U200US15016,15016,"State Senate District 16 (2010), Hawaii",15019,278,9478,362,1013,236,1631,251,2897,259,3.03,0.09,3.38,0.10,3.86,0.45,3.50,0.29,1.33,0.09,12122,337,9478,362,1013,236,1631,251,(X),(X),3.35,0.10,3.36,0.10,3.33,0.42,3.32,0.27,(X),(X),15019,278,9478,362,1013,236,1631,251,2897,259,32.7,2.2,37.6,2.7,61.2,10.5,44.4,8.0,0.0,1.1,52.9,2.2,52.7,2.8,47.5,10.7,65.5,8.3,48.5,5.8,14.7,1.6,(X),(X),(X),(X),(X),(X),76.3,5.1,6.1,1.2,(X),(X),(X),(X),(X),(X),31.7,5.4
610U200US15017,15017,"State Senate District 17 (2010), Hawaii",17177,310,10992,428,949,227,1704,266,3532,314,2.98,0.06,3.50,0.08,3.17,0.34,3.17,0.18,1.22,0.06,13645,367,10992,428,949,227,1704,266,(X),(X),3.38,0.07,3.49,0.08,2.90,0.31,2.94,0.16,(X),(X),17177,310,10992,428,949,227,1704,266,3532,314,41.4,2.0,48.4,2.5,61.5,11.5,66.5,7.4,2.2,1.9,33.3,1.8,33.7,2.1,29.6,9.9,34.6,6.4,32.3,5.1,17.0,1.7,(X),(X),(X),(X),(X),(X),82.8,4.2,4.1,0.9,(X),(X),(X),(X),(X),(X),19.7,3.9
610U200US15018,15018,"State Senate District 18 (2010), Hawaii",12171,283,7063,423,972,225,1787,264,2349,294,3.92,0.13,4.61,0.16,4.58,0.73,4.41,0.40,1.21,0.08,9822,361,7063,423,972,225,1787,264,(X),(X),4.29,0.14,4.40,0.15,4.03,0.61,3.98,0.36,(X),(X),12171,283,7063,423,972,225,1787,264,2349,294,45.1,2.7,54.0,3.4,54.0,10.9,61.9,7.2,1.7,2.4,52.6,2.4,48.7,3.1,65.0,10.8,50.9,8.4,60.5,5.1,16.4,2.1,(X),(X),(X),(X),(X),(X),85.1,5.6,8.6,1.4,(X),(X),(X),(X),(X),(X),44.7,6.0
610U200US15019,15019,"State Senate District 19 (2010), Hawaii",18321,327,11354,509,1366,291,2248,381,3353,388,3.36,0.07,3.80,0.11,4.02,0.47,3.67,0.25,1.40,0.08,14968,437,11354,509,1366,291,2248,381,(X),(X),3.68,0.08,3.75,0.10,3.43,0.48,3.45,0.23,(X),(X),18321,327,11354,509,1366,291,2248,381,3353,388,47.3,2.4,54.5,3.2,67.7,10.0,67.1,8.3,1.5,1.2,26.2,1.7,26.0,2.5,30.4,9.8,32.6,6.9,21.0,4.4,12.9,1.8,(X),(X),(X),(X),(X),(X),70.4,5.2,2.5,0.7,(X),(X),(X),(X),(X),(X),13.9,3.7
610U200US15020,15020,"State Senate District 20 (2010), Hawaii",17767,400,11196,527,952,194,2605,397,3014,361,3.72,0.12,4.17,0.15,4.30,0.66,4.20,0.31,1.49,0.13,14753,473,11196,527,952,194,2605,397,(X),(X),3.98,0.12,4.07,0.14,3.58,0.47,3.71,0.25,(X),(X),17767,400,11196,527,952,194,2605,397,3014,361,53.4,2.3,63.2,2.8,54.3,10.0,72.9,7.2,0.0,1.1,27.3,2.1,26.8,2.6,35.4,12.1,28.5,7.0,25.4,5.2,11.6,1.8,(X),(X),(X),(X),(X),(X),68.5,6.0,2.5,0.6,(X),(X),(X),(X),(X),(X),14.5,3.2
610U200US15021,15021,"State Senate District 21 (2010), Hawaii",12156,367,6062,386,1029,233,2632,321,2433,271,3.86,0.15,4.53,0.20,4.71,0.73,4.36,0.27,1.31,0.08,9723,435,6062,386,1029,233,2632,321,(X),(X),4.37,0.16,4.46,0.20,4.41,0.75,4.14,0.26,(X),(X),12156,367,6062,386,1029,233,2632,321,2433,271,49.2,2.8,53.2,4.0,66.8,10.3,77.8,4.9,0.9,1.0,37.0,2.4,38.5,3.8,44.3,11.9,33.2,6.1,34.4,5.5,15.3,1.9,(X),(X),(X),(X),(X),(X),76.2,5.4,4.0,1.0,(X),(X),(X),(X),(X),(X),20.0,4.5
