GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC03_MOE_VC12,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 3 and 4 years
HC01_EST_VC13,Total; Estimate; Percent of age group enrolled in school -- - 5 to 9 years
HC01_MOE_VC13,Total; Margin of Error; Percent of age group enrolled in school -- - 5 to 9 years
HC02_EST_VC13,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 5 to 9 years
HC02_MOE_VC13,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 5 to 9 years
HC03_EST_VC13,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 5 to 9 years
HC03_MOE_VC13,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 5 to 9 years
HC01_EST_VC14,Total; Estimate; Percent of age group enrolled in school -- - 10 to 14 years
HC01_MOE_VC14,Total; Margin of Error; Percent of age group enrolled in school -- - 10 to 14 years
HC02_EST_VC14,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 10 to 14 years
HC02_MOE_VC14,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 10 to 14 years
HC03_EST_VC14,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 10 to 14 years
HC03_MOE_VC14,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 10 to 14 years
HC01_EST_VC15,Total; Estimate; Percent of age group enrolled in school -- - 15 to 17 years
HC01_MOE_VC15,Total; Margin of Error; Percent of age group enrolled in school -- - 15 to 17 years
HC02_EST_VC15,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 15 to 17 years
HC02_MOE_VC15,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 15 to 17 years
HC03_EST_VC15,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 15 to 17 years
HC03_MOE_VC15,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 15 to 17 years
HC01_EST_VC16,Total; Estimate; Percent of age group enrolled in school -- - 18 and 19 years
HC01_MOE_VC16,Total; Margin of Error; Percent of age group enrolled in school -- - 18 and 19 years
HC02_EST_VC16,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 18 and 19 years
HC02_MOE_VC16,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 18 and 19 years
HC03_EST_VC16,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 18 and 19 years
HC03_MOE_VC16,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 18 and 19 years
HC01_EST_VC17,Total; Estimate; Percent of age group enrolled in school -- - 20 to 24 years
HC01_MOE_VC17,Total; Margin of Error; Percent of age group enrolled in school -- - 20 to 24 years
HC02_EST_VC17,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 20 to 24 years
HC02_MOE_VC17,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 20 to 24 years
HC03_EST_VC17,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 20 to 24 years
HC03_MOE_VC17,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 20 to 24 years
HC01_EST_VC18,Total; Estimate; Percent of age group enrolled in school -- - 25 to 34 years
HC01_MOE_VC18,Total; Margin of Error; Percent of age group enrolled in school -- - 25 to 34 years
HC02_EST_VC18,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 25 to 34 years
HC02_MOE_VC18,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 25 to 34 years
HC03_EST_VC18,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 25 to 34 years
HC03_MOE_VC18,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 25 to 34 years
HC01_EST_VC19,Total; Estimate; Percent of age group enrolled in school -- - 35 years and over
HC01_MOE_VC19,Total; Margin of Error; Percent of age group enrolled in school -- - 35 years and over
HC02_EST_VC19,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 35 years and over
HC02_MOE_VC19,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 35 years and over
HC03_EST_VC19,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 35 years and over
HC03_MOE_VC19,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 35 years and over
HC01_EST_VC28,Total; Estimate; Population 18 to 24 years
HC01_MOE_VC28,Total; Margin of Error; Population 18 to 24 years
HC02_EST_VC28,Percent of enrolled population  - In public school; Estimate; Population 18 to 24 years
HC02_MOE_VC28,Percent of enrolled population  - In public school; Margin of Error; Population 18 to 24 years
HC03_EST_VC28,Percent of enrolled population  - In private school; Estimate; Population 18 to 24 years
HC03_MOE_VC28,Percent of enrolled population  - In private school; Margin of Error; Population 18 to 24 years
HC01_EST_VC29,Total; Estimate; Enrolled in college or graduate school
HC01_MOE_VC29,Total; Margin of Error; Enrolled in college or graduate school
HC02_EST_VC29,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school
HC02_MOE_VC29,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school
HC03_EST_VC29,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school
HC03_MOE_VC29,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school
HC01_EST_VC30,Total; Estimate; Enrolled in college or graduate school - Males 18 to 24 years
HC01_MOE_VC30,Total; Margin of Error; Enrolled in college or graduate school - Males 18 to 24 years
HC02_EST_VC30,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school - Males 18 to 24 years
HC02_MOE_VC30,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school - Males 18 to 24 years
HC03_EST_VC30,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school - Males 18 to 24 years
HC03_MOE_VC30,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school - Males 18 to 24 years
HC01_EST_VC31,Total; Estimate; Enrolled in college or graduate school
HC01_MOE_VC31,Total; Margin of Error; Enrolled in college or graduate school
HC02_EST_VC31,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school
HC02_MOE_VC31,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school
HC03_EST_VC31,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school
HC03_MOE_VC31,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school
HC01_EST_VC32,Total; Estimate; Enrolled in college or graduate school - Females 18 to 24 years
HC01_MOE_VC32,Total; Margin of Error; Enrolled in college or graduate school - Females 18 to 24 years
HC02_EST_VC32,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school - Females 18 to 24 years
HC02_MOE_VC32,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school - Females 18 to 24 years
HC03_EST_VC32,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school - Females 18 to 24 years
HC03_MOE_VC32,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school - Females 18 to 24 years
HC01_EST_VC33,Total; Estimate; Enrolled in college or graduate school
HC01_MOE_VC33,Total; Margin of Error; Enrolled in college or graduate school
HC02_EST_VC33,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school
HC02_MOE_VC33,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school
HC03_EST_VC33,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school
HC03_MOE_VC33,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school
