GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33
610U200US15005,15005,"State Senate District 5 (2010), Hawaii",6431,619,87.3,2.9,12.7,2.9,1495,345,78.3,10.0,21.7,10.0,239,126,70.3,26.7,29.7,26.7,46.0,13.6,40.0,19.2,60.0,19.2,91.7,5.1,92.8,3.6,7.2,3.6,97.2,2.4,82.8,5.1,17.2,5.1,90.0,4.9,81.4,6.2,18.6,6.2,50.3,15.5,94.7,6.1,5.3,6.1,18.6,6.5,83.4,18.0,16.6,18.0,8.3,3.0,81.8,13.5,18.2,13.5,2.0,0.6,66.0,18.6,34.0,18.6,3230,378,(X),(X),(X),(X),20.0,5.4,85.0,13.7,15.0,13.7,1869,302,(X),(X),(X),(X),12.9,6.9,92.1,12.5,7.9,12.5,1361,263,(X),(X),(X),(X),29.8,8.4,80.7,20.0,19.3,20.0
610U200US15006,15006,"State Senate District 6 (2010), Hawaii",8794,782,80.8,3.1,19.2,3.1,1980,404,84.3,7.8,15.7,7.8,403,179,72.5,18.4,27.5,18.4,64.5,8.5,36.2,11.0,63.8,11.0,95.6,4.3,87.9,5.3,12.1,5.3,98.6,1.4,71.6,5.4,28.4,5.4,98.2,1.5,84.7,6.0,15.3,6.0,48.9,11.8,79.5,13.0,20.5,13.0,24.9,7.3,88.5,11.7,11.5,11.7,8.9,2.7,92.0,6.7,8.0,6.7,3.1,1.0,73.7,14.6,26.3,14.6,3749,455,(X),(X),(X),(X),26.0,6.1,85.4,10.3,14.6,10.3,1744,326,(X),(X),(X),(X),21.1,7.5,92.1,8.8,7.9,8.8,2005,316,(X),(X),(X),(X),30.2,8.6,81.4,14.9,18.6,14.9
610U200US15007,15007,"State Senate District 7 (2010), Hawaii",10776,278,89.7,2.3,10.3,2.3,2582,406,87.1,4.6,12.9,4.6,381,122,64.8,16.4,35.2,16.4,53.5,9.0,51.6,11.0,48.4,11.0,96.3,1.7,89.7,2.8,10.3,2.8,96.9,1.7,87.5,4.0,12.5,4.0,89.1,4.2,91.9,4.1,8.1,4.1,51.7,9.1,91.5,5.9,8.5,5.9,26.1,5.9,89.0,6.8,11.0,6.8,9.9,2.9,80.0,11.1,20.0,11.1,2.7,0.6,78.9,8.4,21.1,8.4,5090,107,(X),(X),(X),(X),26.4,4.7,91.1,5.4,8.9,5.4,2662,65,(X),(X),(X),(X),18.6,5.9,95.8,5.0,4.2,5.0,2428,88,(X),(X),(X),(X),34.9,6.8,88.3,8.1,11.7,8.1
610U200US15008,15008,"State Senate District 8 (2010), Hawaii",7209,477,51.6,4.2,48.4,4.2,1894,280,76.4,5.6,23.6,5.6,658,149,66.3,12.0,33.7,12.0,86.8,6.4,11.4,7.2,88.6,7.2,98.6,1.1,57.9,6.4,42.1,6.4,96.8,2.4,52.5,6.2,47.5,6.2,95.4,3.2,37.6,7.6,62.4,7.6,86.0,10.4,59.5,12.7,40.5,12.7,56.5,8.2,78.0,8.3,22.0,8.3,15.4,5.0,74.1,10.0,25.9,10.0,2.0,0.5,71.0,10.1,29.0,10.1,2411,280,(X),(X),(X),(X),56.3,7.6,75.0,7.4,25.0,7.4,1345,199,(X),(X),(X),(X),48.1,10.4,76.7,9.6,23.3,9.6,1066,210,(X),(X),(X),(X),66.6,9.3,73.5,11.6,26.5,11.6
610U200US15009,15009,"State Senate District 9 (2010), Hawaii",5595,528,67.0,5.2,33.0,5.2,3276,478,73.0,7.7,27.0,7.7,898,191,72.4,8.9,27.6,8.9,62.4,12.3,31.1,10.8,68.9,10.8,94.2,4.0,71.1,7.2,28.9,7.2,98.2,1.8,59.9,7.6,40.1,7.6,98.9,1.6,68.7,7.8,31.3,7.8,75.6,8.6,67.0,15.2,33.0,15.2,49.5,7.3,76.4,8.6,23.6,8.6,21.5,3.7,74.8,8.7,25.2,8.7,2.3,0.5,69.1,10.0,30.9,10.0,4124,587,(X),(X),(X),(X),53.3,6.2,73.7,9.2,26.3,9.2,1778,352,(X),(X),(X),(X),48.3,9.9,85.6,11.1,14.4,11.1,2346,429,(X),(X),(X),(X),57.1,7.5,66.0,11.8,34.0,11.8
610U200US15010,15010,"State Senate District 10 (2010), Hawaii",5034,483,64.6,6.1,35.4,6.1,6290,788,82.2,6.1,17.8,6.1,1868,683,82.5,6.2,17.5,6.2,71.5,12.2,34.6,11.6,65.4,11.6,95.7,2.3,64.2,9.1,35.8,9.1,97.6,2.8,62.0,9.5,38.0,9.5,97.8,3.0,59.5,13.2,40.5,13.2,94.5,3.3,69.7,13.0,30.3,13.0,76.7,6.3,87.8,5.1,12.2,5.1,24.6,5.4,86.2,6.2,13.8,6.2,4.0,0.9,75.6,8.9,24.4,8.9,6957,839,(X),(X),(X),(X),76.2,4.6,82.8,7.0,17.2,7.0,3162,543,(X),(X),(X),(X),74.4,7.2,89.0,6.8,11.0,6.8,3795,515,(X),(X),(X),(X),77.7,5.1,77.8,9.5,22.2,9.5
610U200US15011,15011,"State Senate District 11 (2010), Hawaii",5416,621,74.3,5.9,25.7,5.9,3517,466,74.8,6.1,25.2,6.1,1271,290,67.2,11.2,32.8,11.2,50.9,13.7,43.1,17.7,56.9,17.7,94.4,4.1,69.5,8.5,30.5,8.5,96.7,3.6,78.6,8.2,21.4,8.2,94.1,4.9,70.5,11.6,29.5,11.6,77.9,11.3,78.9,14.8,21.1,14.8,45.2,6.6,81.2,8.5,18.8,8.5,24.4,3.5,68.7,7.1,31.3,7.1,2.9,0.6,65.5,9.4,34.5,9.4,4378,486,(X),(X),(X),(X),45.6,6.1,79.4,9.1,20.6,9.1,2489,361,(X),(X),(X),(X),42.5,8.4,82.0,10.7,18.0,10.7,1889,316,(X),(X),(X),(X),49.7,9.7,76.5,12.7,23.5,12.7
610U200US15012,15012,"State Senate District 12 (2010), Hawaii",4422,449,84.1,4.5,15.9,4.5,4505,895,56.4,8.1,43.6,8.1,1536,351,45.6,9.9,54.4,9.9,68.1,12.7,25.2,13.3,74.8,13.3,91.8,5.3,83.0,6.7,17.0,6.7,97.6,2.6,80.6,6.9,19.4,6.9,91.4,6.8,87.5,5.9,12.5,5.9,69.2,16.7,63.3,21.3,36.7,21.3,58.5,8.0,55.1,8.5,44.9,8.5,21.9,3.9,50.9,10.9,49.1,10.9,3.6,0.7,62.3,11.5,37.7,11.5,5668,899,(X),(X),(X),(X),55.5,8.3,55.4,9.4,44.6,9.4,2481,455,(X),(X),(X),(X),46.2,11.1,64.0,10.5,36.0,10.5,3187,608,(X),(X),(X),(X),62.8,8.6,50.6,11.9,49.5,11.9
610U200US15013,15013,"State Senate District 13 (2010), Hawaii",6553,600,76.8,4.4,23.2,4.4,2486,319,80.3,5.8,19.7,5.8,503,160,62.2,13.0,37.8,13.0,46.1,13.7,57.8,18.2,42.2,18.2,96.5,2.6,81.4,7.3,18.6,7.3,97.9,1.5,78.5,6.7,21.5,6.7,90.7,4.8,68.6,7.5,31.4,7.5,65.9,10.9,78.8,11.5,21.2,11.5,39.0,6.9,77.3,8.2,22.7,8.2,13.8,3.3,73.0,12.7,27.0,12.7,2.1,0.6,79.6,9.2,20.4,9.2,4169,498,(X),(X),(X),(X),40.2,6.2,79.0,7.0,21.0,7.0,2122,373,(X),(X),(X),(X),35.0,8.5,89.4,7.1,10.6,7.1,2047,290,(X),(X),(X),(X),45.7,7.8,70.7,11.7,29.3,11.7
610U200US15014,15014,"State Senate District 14 (2010), Hawaii",8483,770,86.7,2.9,13.3,2.9,2358,330,73.4,6.3,26.6,6.3,314,124,58.0,20.7,42.0,20.7,52.4,11.0,65.7,13.6,34.3,13.6,95.9,2.6,89.5,3.6,10.5,3.6,99.0,0.8,85.8,4.2,14.2,4.2,95.8,3.3,83.6,5.2,16.4,5.2,59.0,8.0,86.4,10.4,13.6,10.4,25.6,5.2,77.8,8.9,22.2,8.9,12.8,2.8,61.2,10.5,38.8,10.5,2.7,0.8,73.6,16.4,26.4,16.4,4681,497,(X),(X),(X),(X),27.8,4.5,77.3,7.9,22.7,7.9,2511,352,(X),(X),(X),(X),25.0,5.3,75.0,11.3,25.0,11.3,2170,333,(X),(X),(X),(X),31.1,7.2,79.4,9.4,20.6,9.4
