statename,rank,hs6,abbreviatn,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
ALABAMA,19,852691,RADIO NAVIGATIONAL AID APPARATUS,155.74,196.41,215.45,171.56,1.0453,1.1261,1.1749,0.9058,-20.37
ALABAMA,20,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,84.3,99.76,109.05,170.11,0.5658,0.572,0.5946,0.8981,56
ALABAMA,21,852721,RADIOBROADCAST RECEIVERS FOR MOTOR VEHICLES W,99.29,116.29,143.58,167.25,0.6664,0.6667,0.783,0.883,16.48
ALABAMA,22,830230,OTH BS METL MOUNTNGS FTTNGS ETC FOR MOTOR VEH,118.11,200.17,207.67,166.6,0.7927,1.1476,1.1325,0.8796,-19.78
ALABAMA,23,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",383.39,248.91,268.62,152.85,2.5732,1.4271,1.4648,0.807,-43.1
ALABAMA,24,854430,INSULATED WIRING SETS FOR VEHICLES SHIPS AIRC,172.63,121.42,137.49,146.51,1.1586,0.6962,0.7497,0.7735,6.56
ALABAMA,25,721049,FR IR/NAS CTD/PLTD W ZINC NT ELEC NT CORR 600,101.86,134.02,177.26,144.24,0.6837,0.7684,0.9666,0.7615,-18.63
ALASKA,0,0,World,1476.45,1825.79,2105.28,1480.41,0.0771,0.0827,0.0925,0.0653,-29.68
ALASKA,0,25,Top 25,813.43,1096.38,1271.18,994.21,55.0932,60.0494,60.3805,67.1574,-21.79
ALASKA,1,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,512.31,505.5,818.35,526.08,34.6988,27.6865,38.8713,35.5361,-35.71
ALASKA,2,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",0,0,80.38,107.92,0,0,3.8178,7.2901,34.27
ALASKA,3,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,114.11,339.53,151.9,92.59,7.7285,18.5961,7.2153,6.2543,-39.05
ALASKA,4,260300,COPPER ORES AND CONCENTRATES,80.39,82.91,69.8,66.24,5.4451,4.5412,3.3157,4.4744,-5.11
ALASKA,5,901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI E",21.63,19.18,13.95,22.83,1.4651,1.0506,0.6628,1.5423,63.64
ALASKA,6,260700,LEAD ORES AND CONCENTRATES,1.63,28.65,28.05,17.78,0.1103,1.569,1.3323,1.2012,-36.6
ALASKA,7,283325,COPPER SULFATE,8.7,15.5,12.31,14.1,0.5893,0.849,0.5848,0.9527,14.57
ALASKA,8,843143,"PARTS FOR BORING OR SINKING MACHINERY, NESOI",17.41,20.56,20.99,13.18,1.1793,1.1259,0.9968,0.8902,-37.2
ALASKA,9,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",3.57,2.76,1.94,12.76,0.242,0.151,0.0923,0.8616,556.36
ALASKA,10,841199,GAS TURBINE PARTS NESOI,10.5,16.59,9.17,11.27,0.7114,0.9085,0.4357,0.761,22.82
ALASKA,11,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,0.84,0.81,0.93,10.28,0.0571,0.0445,0.0442,0.6941,1003.03
ALASKA,12,850164,AC GENERATORS OF AN OUTPUT EXCEEDING 750 KVA,0,4.5,0,8.87,0,0.2463,0.0001,0.5991,316095.79
ALASKA,13,841121,"TURBOPROPELLERS OF A POWER NOT EXCEEDING 1,10",7.61,8.62,6.47,8.71,0.5153,0.472,0.3074,0.5886,34.65
ALASKA,14,880211,HELICOPTERS OF AN UNLADEN WEIGHT NOT OVER 200,0,3.69,0.9,8.48,0,0.2021,0.0427,0.5725,841.68
ALASKA,15,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",2.39,0,4.99,7.73,0.1615,0,0.2372,0.5218,54.69
ALASKA,16,730511,"PIPE, OIL LINE ETC OV16IN IR ST, LONG SUB ARC",0.01,0,0.59,7.7,0.0004,0,0.0278,0.5204,1214.52
ALASKA,17,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1.28,1.29,1.34,7.31,0.0864,0.0708,0.0637,0.4937,444.96
ALASKA,18,730429,"CASING AND TUBING,OIL,GAS DRILLING, IRON OR S",12.15,13.67,11.63,7.21,0.823,0.7488,0.5522,0.4871,-37.98
ALASKA,19,310230,"AMMONIUM NITRATE, WHETHER/NOT IN AQUEOUS SOLU",4.9,4.38,6.15,6.61,0.332,0.2401,0.2923,0.4468,7.46
ALASKA,20,840999,SPARK-IGNITION RECIPROCATING INT COM PISTN EN,0.76,1.27,1.22,6.61,0.0517,0.0697,0.0579,0.4463,441.84
ALASKA,21,732611,GRNDNG BLS A SIM ARTIC FR MILLS FRGD/STMPD OF,6.84,4.58,10.19,6.57,0.4631,0.2511,0.4842,0.444,-35.52
ALASKA,22,871639,TRAILERS & SEMI-TRAILER F TRANS CDS NESOI,1.05,0.92,0.99,5.98,0.0714,0.0503,0.0468,0.4038,506.48
ALASKA,23,847149,"DIGITAL ADP MAC & UNITS,ENTERED AS SYSTEMS, N",0.77,2.11,0.62,5.93,0.0521,0.1156,0.0297,0.4004,849.09
ALASKA,24,260800,ZINC ORES AND CONCENTRATES,0.25,13.38,9.99,5.81,0.0169,0.7328,0.4747,0.3922,-41.9
ALASKA,25,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,4.32,5.98,8.31,5.67,0.2923,0.3276,0.3945,0.3829,-31.76
ARIZONA,0,0,World,15622.65,17570.67,18949.67,18989.29,0.8163,0.7958,0.8328,0.8374,0.21
ARIZONA,0,25,Top 25,6327.7,7432.6,8030.09,7994.49,40.5034,42.3012,42.3759,42.1,-0.44
ARIZONA,1,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",855.68,861.17,812.61,833.34,5.4772,4.9012,4.2882,4.3885,2.55
ARIZONA,2,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I,211.04,770.43,389.63,632.81,1.3508,4.3848,2.0561,3.3325,62.41
ARIZONA,3,70200,"TOMATOES, FRESH OR CHILLED",747.97,818.73,714.16,592.44,4.7877,4.6596,3.7687,3.1199,-17.04
ARIZONA,4,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,203.74,696.32,869.49,516.52,1.3041,3.963,4.5884,2.7201,-40.59
ARIZONA,5,70960,"FRUITS OF GENUS CAPSICUM OR PIMENTA, FRESH/CH",283.83,276.03,389.35,439.11,1.8168,1.571,2.0546,2.3124,12.78
ARIZONA,6,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",559.38,338.05,435.47,377.27,3.5806,1.924,2.298,1.9868,-13.36
ARIZONA,7,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,21.49,320.38,322.92,359.35,0.1376,1.8234,1.7041,1.8924,11.28
ARIZONA,8,854430,INSULATED WIRING SETS FOR VEHICLES SHIPS AIRC,347.99,432.73,403.41,346.43,2.2274,2.4628,2.1288,1.8244,-14.12
ARIZONA,9,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",237.77,369.9,332.57,296.83,1.5219,2.1052,1.755,1.5631,-10.75
ARIZONA,10,841199,GAS TURBINE PARTS NESOI,199.26,267.33,283.31,294.11,1.2755,1.5215,1.4951,1.5488,3.81
ARIZONA,11,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",562.7,147.7,214.93,283.2,3.6019,0.8406,1.1342,1.4914,31.77
ARIZONA,12,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,191.2,312.12,459.47,276.34,1.2239,1.7764,2.4247,1.4552,-39.86
ARIZONA,13,841191,TURBOJET AND TURBOPROLLER PARTS,143.11,231.48,247.01,272.54,0.9161,1.3174,1.3035,1.4352,10.34
ARIZONA,14,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,239.63,248.01,251.11,259.4,1.5339,1.4115,1.3251,1.3661,3.3
ARIZONA,15,70700,"CUCUMBERS AND GHERKINS, FRESH OR CHILLED",152.51,135.37,210.33,259.18,0.9762,0.7704,1.1099,1.3649,23.23
ARIZONA,16,70993,"PUMPKINS, SQUASH AND GOURDS, FRESH OR CHILLED",0,0,212.22,244.39,0,0,1.1199,1.287,15.16
ARIZONA,17,842890,"LIFTING, HANDLING, LOADING & UNLOADING MACHY",184.06,201.84,214.85,234.9,1.1781,1.1487,1.1338,1.237,9.33
ARIZONA,18,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",101.55,135.21,180.17,232.16,0.65,0.7695,0.9508,1.2226,28.85
ARIZONA,19,853890,PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL,122.65,157.3,192,199.31,0.7851,0.8952,1.0132,1.0496,3.81
ARIZONA,20,80711,"WATERMELONS, FRESH",167.81,139.73,150.08,194.57,1.0741,0.7953,0.792,1.0246,29.64
ARIZONA,21,80610,"GRAPES, FRESH",279.9,196.06,244.35,183.22,1.7916,1.1158,1.2894,0.9649,-25.02
ARIZONA,22,846789,TOOLS WORK IN SELF-CONT NONELECTRIC MTR NESOI,115.47,9.05,137.44,181.92,0.7391,0.0515,0.7253,0.958,32.36
ARIZONA,23,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",121.53,121.44,151.15,173.96,0.7779,0.6911,0.7976,0.9161,15.09
ARIZONA,24,870120,ROAD TRACTORS FOR SEMI-TRAILERS,169.93,106.01,76.6,162.92,1.0877,0.6034,0.4042,0.8579,112.69
ARIZONA,25,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,107.49,140.21,135.49,148.25,0.6881,0.798,0.715,0.7807,9.42
ARKANSAS,0,0,World,6768.6,7211.2,7414.46,7606.77,0.3537,0.3266,0.3259,0.3355,2.59
ARKANSAS,0,25,Top 25,3103.02,3445.18,3331,3614.21,45.8443,47.7754,44.9258,47.513,8.5
ARKANSAS,1,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",448.66,648.4,578.26,960.1,6.6285,8.9916,7.7991,12.6217,66.03
ARKANSAS,2,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",431,683,899.3,856.2,6.3676,9.4714,12.129,11.2558,-4.79
ARKANSAS,3,950300,"TRICYCLE, SCOOTR, PEDAL CAR & SIM WHEELED TYS",332.85,276.59,245.66,242.82,4.9175,3.8355,3.3132,3.1922,-1.16
ARKANSAS,4,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,463.44,529.62,44.11,180.98,6.847,7.3444,0.5949,2.3792,310.28
ARKANSAS,5,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,161.8,139.87,148.61,142.38,2.3904,1.9396,2.0044,1.8717,-4.2
ARKANSAS,6,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,169.91,45.83,90.51,132.39,2.5102,0.6355,1.2208,1.7404,46.26
ARKANSAS,7,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",145.89,172.08,184.64,125.95,2.1553,2.3863,2.4903,1.6558,-31.79
ARKANSAS,8,760120,UNWROUGHT ALUMINUM ALLOYS,117.72,165.7,128.91,112.46,1.7392,2.2978,1.7386,1.4784,-12.76
ARKANSAS,9,841191,TURBOJET AND TURBOPROLLER PARTS,10.82,14.46,38.91,84,0.1599,0.2005,0.5248,1.1042,115.87
ARKANSAS,10,720836,"FLT-HOT-ROLL IRN,NONALY STL,COIL,>10MM THICK,",146.31,110.75,191.85,65.13,2.1616,1.5358,2.5875,0.8562,-66.05
ARKANSAS,11,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,63.57,49.96,66.98,62.42,0.9392,0.6928,0.9034,0.8205,-6.81
ARKANSAS,12,870120,ROAD TRACTORS FOR SEMI-TRAILERS,113.45,154.82,207.93,62.38,1.6762,2.147,2.8044,0.82,-70
ARKANSAS,13,940510,CHANDELIER CEILNG/WALL LGHTNG FTTNG EX PUBLIC,19.23,33.39,35.97,56.93,0.2841,0.463,0.4852,0.7484,58.26
ARKANSAS,14,930200,"REVOLVERS & PISTOLS, DESIGNED TO FIRE LIVE AM",0.23,2.52,7.36,49.54,0.0034,0.0349,0.0993,0.6513,573.1
ARKANSAS,15,630260,TOILET & KITCHEN LINEN OF COTTON TERRY FABRIC,58.66,54.54,52.8,48.83,0.8666,0.7563,0.7122,0.6419,-7.53
ARKANSAS,16,940360,"WOODEN FURNITURE, NESOI",28.64,28.2,38.12,48.53,0.4231,0.3911,0.5141,0.638,27.3
ARKANSAS,17,630231,"BED LINEN NESOI, OF COTTON, NOT KNIT OR CROCH",44.85,37.83,38.02,47.03,0.6627,0.5246,0.5128,0.6182,23.68
ARKANSAS,18,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,26.72,28.85,37.44,45.15,0.3947,0.4,0.505,0.5936,20.6
ARKANSAS,19,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,81.95,17.38,36.47,44.04,1.2108,0.241,0.4919,0.5789,20.74
ARKANSAS,20,711311,"JEWELRY AND PARTS THEREOF, OF SILVER",59.55,59.67,59.97,43.12,0.8798,0.8275,0.8088,0.5669,-28.1
ARKANSAS,21,940179,"SEATS WITH METAL FRAMES, EXCEPT UPHOLSTERED N",38.04,44.36,44.89,42.56,0.5619,0.6151,0.6055,0.5595,-5.2
ARKANSAS,22,930400,"ARMS NESOI, OTHER THAN SIDE ARMS AND SIMILAR",38.1,33.86,44.76,41.56,0.5629,0.4695,0.6037,0.5464,-7.14
ARKANSAS,23,840991,SPARK-IGNITION INT COMBUSTION PISTON ENG PTS,28.14,35.11,40.98,41.31,0.4158,0.4869,0.5527,0.543,0.8
ARKANSAS,24,940520,ELECTRIC TABLE DESK BEDSIDE OR FLOOR-STANDING,47.82,44.43,38.43,40.56,0.7065,0.6161,0.5183,0.5332,5.53
ARKANSAS,25,848190,PTS F TAPS ETC F PIPE VAT INC PRESS & THERMO,25.66,33.99,30.1,37.86,0.3791,0.4714,0.4059,0.4978,25.8
CALIFORNIA,0,0,World,327265.73,351599.43,376424.09,380907.68,17.0998,15.9235,16.5438,16.7982,1.19
CALIFORNIA,0,25,Top 25,155747.71,167083.45,181884.58,180375.52,47.5906,47.521,48.3191,47.3541,-0.83
CALIFORNIA,1,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,20515.47,20787.49,26672.8,31781.81,6.2687,5.9123,7.0858,8.3437,19.15
CALIFORNIA,2,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,21843.16,30539.79,31587.5,29515.52,6.6744,8.686,8.3915,7.7487,-6.56
CALIFORNIA,3,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,14485.37,17197.67,19377.33,18619.66,4.4262,4.8913,5.1477,4.8882,-3.91
CALIFORNIA,4,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,17162.28,15230.54,18392.23,15128.84,5.2441,4.3318,4.886,3.9718,-17.74
CALIFORNIA,5,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,9223.18,9438.27,11462.78,11510.39,2.8183,2.6844,3.0452,3.0218,0.42
CALIFORNIA,6,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,4457.97,6262.34,6723.9,8989.73,1.3622,1.7811,1.7863,2.3601,33.7
CALIFORNIA,7,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,12051.31,8157.84,7139.57,7218.55,3.6824,2.3202,1.8967,1.8951,1.11
CALIFORNIA,8,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NE",12334.39,11191.92,10819.28,6811.35,3.7689,3.1831,2.8742,1.7882,-37.04
CALIFORNIA,9,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",5265.97,5455.5,6380.94,6171.33,1.6091,1.5516,1.6951,1.6202,-3.28
CALIFORNIA,10,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",3137.7,4299.73,3824.29,5792.47,0.9588,1.2229,1.016,1.5207,51.47
CALIFORNIA,11,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,3731.58,5486.69,4489.89,5156.27,1.1402,1.5605,1.1928,1.3537,14.84
CALIFORNIA,12,844399,"PTS & ACC OF PRINTERS, COPIERS AND FAX MACH,",5193.35,5320.49,4608.62,4102.67,1.5869,1.5132,1.2243,1.0771,-10.98
CALIFORNIA,13,950300,"TRICYCLE, SCOOTR, PEDAL CAR & SIM WHEELED TYS",3618.53,3569.99,3423.05,3645.12,1.1057,1.0154,0.9094,0.957,6.49
CALIFORNIA,14,844331,"MACH WHICH PERFORM 2-PLUS OF PRINT, COPY, FAX",3316.9,3199.84,3010.98,2927.24,1.0135,0.9101,0.7999,0.7685,-2.78
CALIFORNIA,15,854140,PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL,1539.89,2795.92,3714.59,2770.66,0.4705,0.7952,0.9868,0.7274,-25.41
CALIFORNIA,16,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",2496.42,2400.16,3188.31,2632.82,0.7628,0.6826,0.847,0.6912,-17.42
CALIFORNIA,17,870322,"PASS MTR VEH,SPARK IGN ENG, >1000CC BUT =<150",1160.4,1112.08,1890.2,2228.39,0.3546,0.3163,0.5021,0.585,17.89
CALIFORNIA,18,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",1946.32,2158.76,1937.37,2058.72,0.5947,0.614,0.5147,0.5405,6.26
CALIFORNIA,19,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,2001.34,2149.87,2046.79,2040.69,0.6115,0.6115,0.5437,0.5357,-0.3
CALIFORNIA,20,401110,"NEW PNEUMATIC TIRES OF RUBBER, FOR MOTOR CARS",1821.04,1922.6,2050.25,1973.46,0.5564,0.5468,0.5447,0.5181,-3.75
CALIFORNIA,21,852351,SOLID-STATE NON-VOL SEMICONDUCTOR STORAGE DEV,1020.61,1266.46,1681.08,1903.69,0.3119,0.3602,0.4466,0.4998,13.24
CALIFORNIA,22,611020,"SWEATERS, PULLOVERS ETC, KNIT ETC, COTTON",1799.62,1837.28,1746.94,1891.21,0.5499,0.5225,0.4641,0.4965,8.26
CALIFORNIA,23,640399,"FOOTWEAR, OUTER SOLE RUB ETC & LEATHER UPPER",1975.92,1752.15,1782.71,1845.04,0.6038,0.4983,0.4736,0.4844,3.5
CALIFORNIA,24,640299,"FOOTWEAR, OUTER SOLE & UPPER RUBBER OR PLAST",1503.03,1595.29,1793.47,1839.35,0.4593,0.4537,0.4764,0.4829,2.56
CALIFORNIA,25,852580,"TELEVISION CAMERA, DIGITL CAMRA & VID CAM REC",2145.94,1954.76,2139.75,1820.55,0.6557,0.556,0.5684,0.478,-14.92
COLORADO,0,0,World,11357.7,11745.38,12648.72,12808.4,0.5934,0.5319,0.5559,0.5649,1.26
COLORADO,0,25,Top 25,4782.72,5182.15,6086.44,6213.33,42.1099,44.1207,48.1191,48.5098,2.08
COLORADO,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,2332.51,2612.46,3152.54,2711.62,20.5368,22.2425,24.9238,21.1706,-13.99
COLORADO,2,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",177.97,184.13,245.19,388.6,1.5669,1.5677,1.9384,3.034,58.49
COLORADO,3,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",145.8,78.78,217.17,304.71,1.2837,0.6707,1.7169,2.379,40.31
COLORADO,4,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",268.87,267.98,250.59,298.24,2.3673,2.2816,1.9812,2.3285,19.02
COLORADO,5,852871,RECEPTION APP FOR TV NT DESIGNED TO INC VIDEO,373.94,199.78,171.97,272.2,3.2924,1.7009,1.3596,2.1252,58.28
COLORADO,6,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",179.31,268.93,259.44,264.49,1.5788,2.2897,2.0511,2.065,1.95
COLORADO,7,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,85.78,111.91,133.56,184.11,0.7553,0.9528,1.0559,1.4375,37.85
COLORADO,8,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",175.23,194.76,172.45,170.79,1.5428,1.6582,1.3634,1.3334,-0.96
COLORADO,9,902140,HEARING AIDS,17.89,148.5,199.25,169.91,0.1575,1.2643,1.5752,1.3266,-14.72
COLORADO,10,100590,"CORN (MAIZE), OTHER THAN SEED CORN",0,0,0,121.87,0,0,0,0.9515,0
COLORADO,11,481019,"PPR/PBRD,WRIT/PRINT, CLAY CTD, <10%MECH FBS,",28.6,42.84,65.71,117.5,0.2518,0.3647,0.5195,0.9174,78.82
COLORADO,12,902110,"ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACC",64.64,101.57,109.53,115.56,0.5691,0.8647,0.8659,0.9022,5.51
COLORADO,13,852550,TRANSMISSION APP FOR RADIO-BROADCAST OR TELEV,60.83,56.14,96.89,102.44,0.5356,0.4779,0.766,0.7998,5.72
COLORADO,14,850440,STATIC CONVERTERS; ADP POWER SUPPLIES,76.67,98.08,88.88,100.6,0.675,0.8351,0.7027,0.7854,13.19
COLORADO,15,300410,"PENICILLINS OR STREPTOMYCINS & DERV, DOSAGE F",146.04,156.76,127.36,95.27,1.2858,1.3347,1.0069,0.7438,-25.19
COLORADO,16,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,124.09,90.29,84.79,91.77,1.0925,0.7688,0.6703,0.7165,8.23
COLORADO,17,940161,"SEATS W WOODEN FRAMES, UPHOLSTERED, NESOI",58.42,63.68,78.35,86.1,0.5143,0.5422,0.6194,0.6722,9.89
COLORADO,18,721012,FR IOS NAL 600MM AO W TIN CTD OR PLTD UNDR 0.,68.17,48.52,61.96,83.68,0.6002,0.4131,0.4898,0.6533,35.06
COLORADO,19,420299,"CONTAINER BAGS, CASES ETC NESOI",35.32,55.99,101.08,83.64,0.311,0.4767,0.7991,0.653,-17.25
COLORADO,20,441012,"ORIENTED STRAND BOARD (OSB), OF WOOD",32,27.72,66.28,83.21,0.2817,0.236,0.524,0.6496,25.53
COLORADO,21,640299,"FOOTWEAR, OUTER SOLE & UPPER RUBBER OR PLAST",20.52,48.28,73.02,78.1,0.1807,0.4111,0.5773,0.6097,6.95
COLORADO,22,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",87.45,127.28,118.99,75.37,0.77,1.0837,0.9408,0.5884,-36.66
COLORADO,23,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,55.16,79.72,97.09,73.23,0.4857,0.6787,0.7676,0.5718,-24.57
COLORADO,24,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",67.64,56.86,56.53,71.81,0.5956,0.4841,0.4469,0.5607,27.04
COLORADO,25,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",99.86,61.18,57.83,68.49,0.8792,0.5209,0.4572,0.5347,18.42
CONNECTICUT,0,0,World,18651.52,24028.24,21497.06,21520.55,0.9746,1.0882,0.9448,0.9491,0.11
CONNECTICUT,0,25,Top 25,6671.63,8897.5,9875.32,10067.56,35.7699,37.0294,45.938,46.7811,1.95
CONNECTICUT,1,841191,TURBOJET AND TURBOPROLLER PARTS,2015.98,2339.13,2214.73,2096.75,10.8087,9.7349,10.3025,9.743,-5.33
CONNECTICUT,2,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHO,718.38,1484.63,886.81,1436.4,3.8516,6.1787,4.1253,6.6746,61.97
CONNECTICUT,3,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",0,0,1287.86,1179.77,0,0,5.9909,5.4821,-8.39
CONNECTICUT,4,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",433.35,461.64,822.32,1039.24,2.3234,1.9212,3.8253,4.8291,26.38
CONNECTICUT,5,880230,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000",640.36,933.34,849.34,830.7,3.4333,3.8843,3.951,3.86,-2.2
CONNECTICUT,6,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",339.58,311.72,460.45,469.79,1.8207,1.2973,2.1419,2.183,2.03
CONNECTICUT,7,293339,CMPDS CONT AN UNFUSED PYRIDINE RING ETC NESOI,45.57,103.34,119.14,319.4,0.2443,0.4301,0.5542,1.4842,168.09
